settings,validation,test,training time,inference time
Optimized,0.9778333306312561,0.9726999998092651,54.706424713134766,0.5810806751251221
Default,0.8634999990463257,0.8482999801635742,10.852068424224854,0.539301872253418
Optimized,0.9756666421890259,0.9702000021934509,53.70148754119873,0.6021463871002197
Default,0.44333332777023315,0.4424999952316284,11.422644853591919,0.5312929153442383
Optimized,0.9781666398048401,0.9728000164031982,49.53585863113403,0.5803060531616211
Default,0.6461666822433472,0.6432999968528748,10.824448108673096,0.5710499286651611
Optimized,0.9778333306312561,0.9710000157356262,49.08852481842041,0.5454440116882324
Default,0.7408333420753479,0.7213000059127808,10.82263708114624,0.4956846237182617
Optimized,0.9713333249092102,0.9660000205039978,50.41553235054016,0.5910019874572754
Default,0.6116666793823242,0.6144999861717224,10.603531837463379,0.5443265438079834
Gradient Dropout,0.9710000157356262,0.963100016117096,54.126582622528076,0.5898492336273193
Gradient Dropout,0.9738333225250244,0.9682999849319458,55.008387088775635,0.6266078948974609
Gradient Dropout,0.9731666445732117,0.9638000130653381,54.58080339431763,0.6696689128875732
Gradient Dropout,0.9664999842643738,0.9613000154495239,55.09743356704712,0.6043319702148438
Gradient Dropout,0.9713333249092102,0.9663000106811523,55.30529856681824,0.5894532203674316
Loss,0.9818333387374878,0.9746000170707703,54.93750548362732,0.5826044082641602
Loss,0.9804999828338623,0.9775000214576721,54.527451515197754,0.5965638160705566
Loss,0.9768333435058594,0.9753000140190125,54.48806619644165,0.6250162124633789
Loss,0.9806666374206543,0.9742000102996826,53.993505239486694,0.593329906463623
Loss,0.9761666655540466,0.9743000268936157,54.30674433708191,0.6565330028533936
Input,0.9553333520889282,0.9473000168800354,54.51497411727905,0.5968286991119385
Input,0.9645000100135803,0.9599000215530396,53.683300256729126,0.5811841487884521
Input,0.9648333191871643,0.9593999981880188,51.70617604255676,0.567481279373169
Input,0.9618333578109741,0.9569000005722046,50.249019622802734,0.5556299686431885
Input,0.9683333039283752,0.9639000296592712,49.8250470161438,0.5525405406951904
Batch,0.7149999737739563,0.7189000248908997,11.090808868408203,0.5614686012268066
Batch,0.7950000166893005,0.7822999954223633,11.332089185714722,0.5662698745727539
Batch,0.7549999952316284,0.7390000224113464,10.741190195083618,0.5566580295562744
Batch,0.6661666631698608,0.6545000076293945,10.838889122009277,0.549036979675293
Batch,0.7943333387374878,0.77920001745224,10.943518161773682,0.5957322120666504
