settings,validation,test,training time,inference time
Optimized,0.9700000286102295,0.9635999798774719,64.56534075737,0.5475296974182129
Default,0.24183332920074463,0.241799995303154,9.078001499176025,0.4823615550994873
Optimized,0.9746666550636292,0.9674000144004822,114.62373876571655,0.5153005123138428
Default,0.9455000162124634,0.9375,252.4522988796234,0.4867234230041504
Optimized,0.9766666889190674,0.9708999991416931,135.51523208618164,0.5391473770141602
Default,0.1236666664481163,0.11729999631643295,4.228982448577881,0.46025681495666504
Optimized,0.9756666421890259,0.9674999713897705,188.25374126434326,0.5595626831054688
Default,0.20100000500679016,0.20990000665187836,7.14575982093811,0.4340672492980957
Optimized,0.9764999747276306,0.967199981212616,98.23239207267761,0.5433745384216309
Default,0.22499999403953552,0.22609999775886536,8.320634841918945,0.5044155120849609
Dropout,0.9701666831970215,0.9641000032424927,77.24913096427917,0.5875141620635986
Dropout,0.9733333587646484,0.9671000242233276,83.70116662979126,0.5169370174407959
Dropout,0.9754999876022339,0.9672999978065491,81.16240620613098,0.5107312202453613
Dropout,0.9735000133514404,0.9679999947547913,79.30021262168884,0.5049190521240234
Dropout,0.9723333120346069,0.9642999768257141,66.14949679374695,0.509291410446167
Batch,0.10450000315904617,0.10100000351667404,10.09456467628479,0.5593307018280029
Batch,0.09950000047683716,0.09740000218153,8.118391036987305,0.5762178897857666
Batch,0.11133333295583725,0.10279999673366547,1.5330400466918945,0.5313057899475098
Batch,0.09600000083446503,0.10090000182390213,1.3696939945220947,0.5711715221405029
Batch,0.10499999672174454,0.11349999904632568,1.4031407833099365,0.7916295528411865
Gradient Noise,0.9753333330154419,0.9690999984741211,113.176837682724,0.5262181758880615
Gradient Noise,0.9741666913032532,0.9657999873161316,85.49329352378845,0.5501799583435059
Gradient Noise,0.9766666889190674,0.9700000286102295,134.35183572769165,0.5122091770172119
Gradient Noise,0.9660000205039978,0.9563999772071838,36.246746301651,0.5002553462982178
Gradient Noise,0.9750000238418579,0.9684000015258789,88.61751008033752,0.5113053321838379
Activation,0.9726666808128357,0.9671000242233276,95.53218078613281,0.5467698574066162
Activation,0.9775000214576721,0.9728000164031982,122.40924668312073,0.4869651794433594
Activation,0.9736666679382324,0.9686999917030334,71.94414710998535,0.4729044437408447
Activation,0.9775000214576721,0.9693999886512756,83.13151383399963,0.47492551803588867
Activation,0.9756666421890259,0.9721999764442444,144.6437382698059,0.5344016551971436
Gradient Dropout,0.9778333306312561,0.9721999764442444,139.3013677597046,0.6372957229614258
Gradient Dropout,0.9776666760444641,0.9702000021934509,123.14206457138062,0.5013768672943115
Gradient Dropout,0.9766666889190674,0.9711999893188477,117.42466974258423,0.5050845146179199
Gradient Dropout,0.9743333458900452,0.968999981880188,104.1865222454071,0.5158107280731201
Gradient Dropout,0.9711666703224182,0.9628000259399414,60.90028738975525,0.5011546611785889
Input,0.9721666574478149,0.965399980545044,99.72904992103577,0.5118880271911621
Input,0.9753333330154419,0.9697999954223633,124.65880990028381,0.4925658702850342
Input,0.9725000262260437,0.9674000144004822,131.08340120315552,0.5471320152282715
Input,0.972000002861023,0.9648000001907349,116.2732458114624,0.5107653141021729
Input,0.9610000252723694,0.9587000012397766,57.395073652267456,0.4944167137145996
Loss,0.9758333563804626,0.9684000015258789,94.54752588272095,0.505638599395752
Loss,0.9723333120346069,0.9666000008583069,64.16764831542969,0.4969358444213867
Loss,0.972000002861023,0.9620000123977661,66.32407021522522,0.5219764709472656
Loss,0.9761666655540466,0.9718000292778015,99.51087260246277,0.5255818367004395
Loss,0.9760000109672546,0.9699000120162964,102.08502507209778,0.5199978351593018
