settings,validation,test,training time,inference time
Optimized,0.9929999709129332,0.992900013923645,297.4056439399719,0.8396267890930176
Default,0.9919999837875366,0.993399977684021,230.96693968772888,0.8689556121826172
Optimized,0.993749976158142,0.9933000206947328,293.99442315101624,0.8613238334655762
Default,0.993083357810974,0.9923999905586244,232.02380847930908,0.9851317405700684
Optimized,0.993083357810974,0.9944999814033508,345.6327304840088,1.0852675437927246
Default,0.9918333292007446,0.9922999739646912,252.0529265403748,0.9250192642211914
Optimized,0.99358332157135,0.9923999905586244,335.9937913417816,0.9175243377685548
Default,0.9924166798591614,0.9915000200271606,260.0313255786896,0.8895280361175537
Optimized,0.9929999709129332,0.9933000206947328,323.04996061325073,1.02353835105896
Default,0.9926666617393494,0.9936000108718872,247.31034803390503,0.9448018074035645
Dropout,0.9934166669845581,0.993399977684021,215.7583303451538,0.7415359020233154
Dropout,0.9935833215713501,0.9925000071525574,216.56236243247986,0.760012149810791
Dropout,0.9937499761581421,0.9940999746322632,217.58529543876648,0.7401881217956543
Dropout,0.9930833578109741,0.9941999912261963,216.65811896324158,0.738107442855835
Dropout,0.9942499995231628,0.9937999844551086,216.7011616230011,0.7312502861022949
Dropout+Batch,0.9941666722297668,0.9934999942779541,282.287118434906,0.7347254753112793
Dropout+Batch,0.9944999814033508,0.9940999746322632,262.9249436855316,0.759019136428833
Dropout+Batch,0.9931666851043701,0.9926000237464905,263.75736951828003,0.7644236087799072
Dropout+Batch,0.9930833578109741,0.9934999942779541,263.06151032447815,0.7670047283172607
