settings,validation,test,training time,inference time
Optimized,0.9928333163261414,0.9943000078201294,206.80246710777283,0.6582756042480469
Default,0.9921666383743286,0.991100013256073,151.7119641304016,0.6728358268737793
Optimized,0.9915000200271606,0.9922999739646912,236.17434239387512,0.7799651622772217
Default,0.9915000200271606,0.9901000261306763,211.67525434494019,0.7308793067932129
Optimized,0.9941666722297668,0.9940999746322632,182.50485634803772,0.6589395999908447
Default,0.9904999732971191,0.9890000224113464,140.24590611457825,0.7696011066436768
Optimized,0.9938333630561829,0.9930999875068665,130.6517174243927,0.7820742130279541
Default,0.9931666851043701,0.9919999837875366,200.81902742385864,0.7174942493438721
Optimized,0.9931666851043701,0.9936000108718872,196.6537308692932,0.824974775314331
Default,0.9928333163261414,0.9918000102043152,234.1609709262848,0.6159946918487549
Gradient Noise,0.9956666827201843,0.9939000010490417,248.3558623790741,0.6383881568908691
Gradient Noise,0.9913333058357239,0.9916999936103821,211.39742469787598,0.6205861568450928
Gradient Noise,0.9931666851043701,0.9932000041007996,227.45495891571045,0.8874530792236328
Gradient Noise,0.9944999814033508,0.9930999875068665,206.61496138572693,0.8757843971252441
Gradient Noise,0.9956666827201843,0.9948999881744385,272.44803619384766,0.7034003734588623
