settings,validation,test,training time,inference time
Optimized,0.9946666955947876,0.9944000244140625,56.04714632034302,0.5600910186767578
Default,0.9925000071525574,0.9936000108718872,45.64748549461365,0.5507204532623291
Optimized,0.9953333139419556,0.9950000047683716,55.81360578536987,0.6578185558319092
Default,0.9944999814033508,0.9943000078201294,46.398638010025024,0.5542435646057129
Optimized,0.9948333501815796,0.995199978351593,57.06592130661011,0.5912282466888428
Default,0.9928333163261414,0.993399977684021,44.89623808860779,0.5655152797698975
Optimized,0.9950000047683716,0.994700014591217,56.71994161605835,0.5956766605377197
Default,0.9919999837875366,0.9916999936103821,47.24646329879761,0.5743639469146729
Optimized,0.9943333268165588,0.9944000244140625,57.49682378768921,0.5963551998138428
Default,0.9928333163261414,0.9912999868392944,45.82935857772827,0.613490104675293
Dropout,0.9896666407585144,0.9929999709129333,54.83944821357727,0.5839781761169434
Dropout,0.9915000200271606,0.9922000169754028,53.797034740448,0.5945897102355957
Dropout,0.9926666617393494,0.9926000237464905,53.21567678451538,0.6044399738311768
Dropout,0.9900000095367432,0.9922000169754028,55.29622030258179,0.6991326808929443
Dropout,0.9938333630561829,0.9926000237464905,53.74211072921753,0.6510837078094482
Gradient Dropout,0.9958333373069763,0.9952999949455261,58.55148673057556,0.6015198230743408
Gradient Dropout,0.9948333501815796,0.9943000078201294,54.503536224365234,0.5872900485992432
Gradient Dropout,0.10499999672174454,0.11349999904632568,55.101614236831665,0.574291467666626
Gradient Dropout,0.9931666851043701,0.9943000078201294,57.064072132110596,0.5678586959838867
Gradient Dropout,0.9940000176429749,0.9940000176429749,54.31939625740051,0.603567361831665
Loss,0.9946666955947876,0.9951000213623047,54.14090442657471,0.6562497615814209
Loss,0.9946666955947876,0.9948999881744385,55.6136314868927,0.5088315010070801
Loss,0.9931666851043701,0.9940000176429749,55.36269807815552,0.5078442096710205
Loss,0.9943333268165588,0.9944999814033508,52.814181327819824,0.5181589126586914
Loss,0.9934999942779541,0.9947999715805054,54.583131074905396,0.5237553119659424
Batch,0.9950000047683716,0.9948999881744385,49.278440713882446,0.564882755279541
Batch,0.9948333501815796,0.9944999814033508,46.48919153213501,0.5911996364593506
Batch,0.9933333396911621,0.9952999949455261,48.550633907318115,0.5719916820526123
Batch,0.9955000281333923,0.9945999979972839,48.29131364822388,0.9547975063323975
Batch,0.9948333501815796,0.9954000115394592,48.35097146034241,0.6644518375396729
Input,0.9955000281333923,0.9951000213623047,55.36007332801819,0.639289140701294
Input,0.9944999814033508,0.9944999814033508,54.02519154548645,0.5627138614654541
Input,0.9944999814033508,0.9951000213623047,55.65028381347656,0.6692099571228027
Input,0.9956666827201843,0.994700014591217,57.4148371219635,0.5934107303619385
Input,0.9946666955947876,0.9937999844551086,56.47738528251648,0.5702252388000488
Activation,0.9936666488647461,0.9943000078201294,54.12607717514038,0.638291597366333
Activation,0.9940000176429749,0.9937999844551086,55.24809551239014,0.5653810501098633
Activation,0.9948333501815796,0.9952999949455261,53.788349628448486,0.6165223121643066
Activation,0.9956666827201843,0.9950000047683716,55.44903779029846,0.5655477046966553
Activation,0.9940000176429749,0.9937000274658203,55.585010290145874,0.5696103572845459
